Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.0725E-05,-0.00037315,0.01797,0,0,0,0.36868,0.00038326,7.3493E-09,-1.5736E-08,7.266E-05,1.2589E-08,0.00044409,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,arduino_MEGA2560.STEP-1;XL4015_MODELO_PISTAS.step-1;0-1;BASE_MOTOR_V1-1;1-1;JGA25-371_12VDC_110RPM.stp-1;Tru dong M3 - 10mm-1;BATTERY HOLDER x2 18650.stp-1;BATTERY HOLDER x2 18650.stp-3;Tru dong M3 - 35mm-5;3-3;Marquardt 1831.1107 Wippschalter.stp-1;HC05-1;MPU.stp-1;Tru dong M3 - 35mm-7;Tru dong M3 - 35mm-8;Tru dong M3 - 35mm-6;Tru dong M3 - 10mm-3;Tru dong M3 - 10mm-4;Tru dong M3 - 10mm-2;JGA25-371_12VDC_110RPM.stp-2;BASE_MOTOR_V1-2;blue_wheel_with_adapter-3/motor_adapter-1;blue_wheel_with_adapter-1/motor_adapter-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightWheel_Link,2.9117E-05,0.006209,-0.00044943,0,0,0,0.079032,2.8184E-05,7.7355E-11,2.0174E-10,4.608E-05,2.7186E-10,2.8217E-05,0,0,0,0,0,0,package://robot/meshes/RightWheel_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://robot/meshes/RightWheel_Link.STL,,blue_wheel_with_adapter-1/65mm tire-1;blue_wheel_with_adapter-1/blue_wheel_frame-2;blue_wheel_with_adapter-1/motor_adapter-1,坐标系2,基准轴2,RightWheel_Joint,continuous,0,-0.101,-0.02,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
LeftWheel_Link,6.8681E-06,-0.006209,-0.00045032,0,0,0,0.079032,2.8184E-05,9.8818E-11,-2.8396E-09,4.608E-05,-2.6481E-10,2.8217E-05,0,0,0,0,0,0,package://robot/meshes/LeftWheel_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://robot/meshes/LeftWheel_Link.STL,,blue_wheel_with_adapter-3/65mm tire-1;blue_wheel_with_adapter-3/blue_wheel_frame-2;blue_wheel_with_adapter-3/motor_adapter-1,坐标系3,基准轴1,LeftWheel_Joint,continuous,0,0.101,-0.02,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
